DataFile,SampleNo,7Li,9Be,23Na,24Mg,27Al,29Si,31P,33S,39K,43Ca,45Sc,47Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,75As,85Rb,88Sr,89Y,90Zr,107Ag,111Cd,118Sn,121Sb,133Cs,137Ba,139La,140Ce,141Pr,146Nd,147Sm,153Eu,157Gd,159Tb,163Dy,165Ho,166Er,169Tm,172Yb,175Lu,178Hf,181Ta,182W,197Au,205Tl,208Pb,209Bi,232Th,238U
160824-A,D0506-1a    8/24/2016 1:28:10 PM,0.007235833,0.000278074,0.344942658,0.638880939,10.12715041,43.54705309,0.12743092,0.087898704,1.069493988,0.981447882,0.00101704,0.345846948,0.00707977,0.001049848,0.039031028,1.318976772,0.000427569,0.001316178,4.657238729,0.667674583,0.004869253,0.002859112,0.012439129,0.003949229,0.010263566,0.000992943,0.002337065,0.000684123,0.03823015,0.000307474,0.015126154,0.00414538,0.01001546,0.001076948,0.004076625,0.000762263,0.000154141,0.00070331,0.00011007,0.000663637,0.000128768,0.000377362,5.26E-05,0.000340824,4.56E-05,0.000332175,0.000253693,0.000215059,1.58E-06,1.58E-05,35.90159474,0.006523305,0.002066957,0.002814614
160824-A,D0506-1b    8/24/2016 1:30:26 PM,0.008610675,0.00052367,0.430605991,0.608618339,10.88459596,41.68874081,0.11672563,0.23707953,1.054835438,1.005306681,0.000905612,0.326747124,0.006670923,0.001162469,0.037272098,1.285636632,0.000479768,0.001348973,3.612204936,0.726104512,0.007340181,0.002586153,0.017293867,0.00359066,0.009715213,0.001150426,0.002082162,0.000652319,0.038375567,0.00026013,0.019483194,0.004017637,0.009282467,0.001009343,0.003646864,0.000710175,0.000157646,0.000643614,9.67E-05,0.000622012,0.000122626,0.000347684,4.67E-05,0.000272094,4.26E-05,0.0003026,0.000243592,0.000224692,4.23E-07,1.80E-05,37.83019269,0.00667077,0.001951166,0.002672269
160824-A,D0506-2a    8/24/2016 1:33:08 PM,0.006150165,0.000648783,0.200194805,0.37516495,8.607935176,40.52642288,0.110839171,0.113615658,0.97198513,0.45273704,0.000679342,0.188346672,0.003835582,0.001233978,0.02766669,0.860433707,0.0003271,0.000858936,10.55034858,0.498096526,0.006532624,0.003710151,0.011275111,0.005074754,0.006736997,0.002491825,0.004166083,0.000354178,0.025210719,0.000814409,0.016158563,0.001918058,0.004536977,0.000513715,0.001925361,0.000422062,0.000112268,0.000574617,0.000109552,0.000721411,0.000135719,0.000369389,4.88E-05,0.000286011,4.01E-05,0.000215062,0.000118407,0.000123533,2.34E-06,0.000016359,36.40163225,0.00305557,0.001111403,0.001964768
160824-A,D0506-2b    8/24/2016 1:35:22 PM,0.008668718,0.000677159,0.280374682,0.377466575,8.753338747,42.8951494,0.121477521,0.073353569,1.103946605,0.421017246,0.000731908,0.21245027,0.004375652,0.00162626,0.028125162,0.967783571,0.000322229,0.000898882,6.773065186,0.526347087,0.009192237,0.003783422,0.010929415,0.005232802,0.00705302,0.003219098,0.004324437,0.000397099,0.030022039,0.0008288,0.016203698,0.002084123,0.005122993,0.000552408,0.002116622,0.000468833,0.000116239,0.000633563,0.000114486,0.000783976,0.000148856,0.000380126,4.73E-05,0.000298845,4.28E-05,0.000210839,0.000143728,0.000137854,1.19E-06,1.71E-05,37.33717821,0.003635585,0.001187189,0.002194529
160824-A,D0441-1a    8/24/2016 1:38:02 PM,0.021836167,0.000904306,0.670263377,0.618990358,17.56339151,42.83628335,0.150919728,0.195465704,2.744125013,2.714948106,0.001969566,0.730982296,0.009198762,0.014930515,0.537061484,10.51860811,0.003023947,0.004173858,9.415962471,0.20832809,0.005505945,0.014098694,0.03735248,0.00581015,0.019566665,0.00282923,0.001075791,0.001642827,0.013704049,0.002964889,0.190296269,0.004469596,0.008482366,0.000935777,0.003679822,0.000775155,0.000163483,0.000818515,0.000112445,0.000802481,0.000176442,0.000539586,6.84E-05,0.000448547,6.97E-05,0.000485137,0.000134995,0.000503344,1.95E-06,3.32E-05,10.71843558,0.000424684,0.001676286,0.000548909
160824-A,D0441-1b    8/24/2016 1:40:19 PM,0.021657065,0.001627168,0.657865783,0.571019115,16.63679667,42.44753694,0.163890679,0.173237609,2.635786674,2.589409582,0.002203506,0.712977052,0.0109047,0.007613752,0.505137037,8.177426974,0.002206564,0.002303929,11.53196047,0.146326301,0.006184696,0.012719201,0.03395251,0.007472278,0.021599534,0.002897241,0.00109635,0.000939433,0.013335234,0.002641595,0.179969911,0.005352048,0.010494462,0.001175848,0.004820364,0.000886735,0.000209515,0.001022809,0.000170558,0.001073918,0.00023324,0.000652027,9.31E-05,0.000606224,8.09E-05,0.000521909,0.000142205,0.000700889,2.31E-06,4.03E-05,12.68772545,0.000554559,0.002048285,0.000696845
160824-A,D0441-2a    8/24/2016 1:43:00 PM,0.027345686,0.001401672,0.726031713,0.531223799,17.03577707,42.52874794,0.156392498,-0.023234735,2.633407716,2.314330389,0.001914477,0.540813665,0.008376449,0.012157253,0.483799907,9.356628994,0.00166033,0.003298104,10.7602967,0.163731871,0.005624549,0.011988374,0.054688784,0.00556773,0.016474878,0.003081312,0.001166613,0.001771246,0.016610885,0.002515976,0.435192474,0.003830246,0.006518408,0.000795701,0.003257308,0.000617609,0.000148734,0.000745902,0.000118177,0.000773207,0.000157806,0.000440166,7.04E-05,0.000428135,6.32E-05,0.000418781,0.000141359,0.000396542,8.21E-07,3.56E-05,12.15983084,0.000400011,0.001536789,0.00049003
160824-A,D0441-2b    8/24/2016 1:45:14 PM,0.025309044,0.001614631,0.645728242,0.51414142,15.9841074,40.73860286,0.137968197,-0.11292255,2.478577788,2.108616186,0.00186161,0.534192562,0.009903373,0.005721032,0.461718953,7.511907079,0.001236389,0.002177328,14.60645979,0.122577259,0.00675516,0.010670449,0.053313015,0.006681392,0.018263187,0.002980148,0.001153997,0.00097664,0.015652319,0.002309683,0.60058666,0.0044818,0.008017704,0.000947994,0.003910134,0.000827186,0.000174425,0.000898447,0.000132532,0.000880745,0.000211486,0.000613062,8.33E-05,0.000504389,7.25E-05,0.000452591,0.000168864,0.000586144,7.91E-07,3.46E-05,13.475355,0.000459962,0.001778397,0.000566674
160824-A,D0442-1a    8/24/2016 1:47:56 PM,0.016139233,0.002465555,0.794836732,0.431369236,14.87817953,36.93239787,0.910669634,0.276270493,3.560245002,1.21042898,0.001556994,0.279268205,0.014749378,0.010722592,0.706777106,15.2397212,0.002164132,0.010014595,9.597564698,0.24239675,0.043928279,0.011576493,0.033777656,0.007597715,0.013927862,0.002022312,0.001156095,0.0022087,0.017357326,0.002835823,0.032728911,0.006515565,0.013682612,0.00159288,0.006354343,0.001300222,0.00027508,0.001213932,0.000171074,0.001141166,0.000232658,0.000659703,0.000090375,0.000549513,0.000074827,0.000336101,8.87E-05,0.0007343,1.49E-06,2.24E-05,14.66819667,0.006944036,0.001931126,0.000836101
160824-A,D0442-1b    8/24/2016 1:50:11 PM,0.013106968,0.002590363,0.657991122,0.522473213,13.89604503,32.6390162,0.831117298,0.504363909,3.085681962,1.238432839,0.001880463,0.36651738,0.016480183,0.007100099,0.949924887,19.02402368,0.00268081,0.011248686,11.26882947,0.251244161,0.057583519,0.01000167,0.029428183,0.008140233,0.014557653,0.001641866,0.001443353,0.002177757,0.019237471,0.002436707,0.027171807,0.006621297,0.013674631,0.001656244,0.006818064,0.001437527,0.000263384,0.001225017,0.000200367,0.001188932,0.000260621,0.000717338,9.15E-05,0.00059184,8.26E-05,0.000337794,9.78E-05,0.000945436,9.10E-07,2.92E-05,14.48815737,0.008153497,0.001988711,0.000890981
